#{"t_start": 1770078423.673936, "env_id": "None"}
r,l,t
170.0,1000,495.454515
170.0,1000,496.552555
170.0,1000,497.159611
170.0,1000,498.244095
170.0,1000,498.852675
150.0,1000,499.880212
150.0,1000,500.4717
150.0,1000,501.517484
150.0,1000,502.08777
150.0,1000,503.111259
150.0,1000,503.65979
150.0,1000,504.70399
150.0,1000,505.244205
150.0,1000,506.254292
150.0,1000,506.786957
150.0,1000,507.766985
150.0,1000,508.327525
150.0,1000,509.325705
150.0,1000,509.896732
150.0,1000,510.918136
150.0,1000,511.483274
150.0,1000,512.554267
142.29,271,512.685421
150.0,1000,513.262134
150.0,1000,514.303092
150.0,1000,514.868234
150.0,1000,515.863313
150.0,1000,516.448042
150.0,1000,517.46895
150.0,1000,518.037657
150.0,1000,519.083637
150.0,1000,519.666549
150.0,1000,520.70212
150.0,1000,521.25646
150.0,1000,522.265417
150.0,1000,522.824933
150.0,1000,523.835099
150.0,1000,524.36278
150.0,1000,525.374593
150.0,1000,525.921952
150.0,1000,526.482874
150.0,1000,527.600002
150.0,1000,528.144852
150.0,1000,529.170678
150.0,1000,529.728826
150.0,1000,530.733933
150.0,1000,531.277676
150.0,1000,532.30061
150.0,1000,532.847809
190.0,1000,533.800834
150.0,1000,534.343133
150.0,1000,535.37784
150.0,1000,535.971201
150.0,1000,537.01873
170.0,1000,537.617212
150.0,1000,538.643424
170.0,1000,539.244474
200.0,1000,540.325679
200.0,1000,540.942919
340.0,1000,541.871247
190.0,1000,542.354729
340.0,1000,543.296401
200.0,1000,543.796145
200.0,1000,544.877151
200.0,1000,545.511908
200.0,1000,546.61535
340.0,1000,547.105423
200.0,1000,548.256026
200.0,1000,549.875032
200.0,1000,550.853997
200.0,1000,551.485733
170.0,1000,552.589872
170.0,1000,553.204953
170.0,1000,554.290952
170.0,1000,554.862554
200.0,1000,555.823943
190.0,1000,556.309035
150.0,1000,557.33704
140.0,1000,557.847206
190.0,1000,558.869092
140.0,1000,559.432559
340.0,1000,561.724993
150.0,1000,562.329394
190.0,1000,562.95923
190.0,1000,563.981378
190.0,1000,564.466948
190.0,1000,565.427254
150.0,1000,565.948067
340.0,1000,566.920207
150.0,1000,567.435183
190.0,1000,568.400546
200.0,1000,568.9302
340.0,1000,569.883406
200.0,1000,570.39857
170.0,1000,571.462273
200.0,1000,572.00461
190.0,1000,572.967045
200.0,1000,573.463892
150.0,1000,574.503059
200.0,1000,575.125025
190.0,1000,576.09579
150.0,1000,576.635843
150.0,1000,577.663731
150.0,1000,578.265216
150.0,1000,579.262327
150.0,1000,579.847577
150.0,1000,580.819936
140.0,1000,581.318676
190.0,1000,582.267651
150.0,1000,582.809677
150.0,1000,583.795396
140.0,1000,584.300812
140.0,1000,585.262006
140.0,1000,585.770713
140.0,1000,586.741738
140.0,1000,587.250222
140.0,1000,588.215525
140.0,1000,588.72324
140.0,1000,589.723218
140.0,1000,590.233906
140.0,1000,591.198671
140.0,1000,591.701553
150.0,1000,592.682959
150.0,1000,593.210497
140.0,1000,594.183508
150.0,1000,594.705829
150.0,1000,595.222089
140.0,1000,596.201066
140.0,1000,596.707918
140.0,1000,597.673206
140.0,1000,598.177537
150.0,1000,599.198377
150.0,1000,599.703329
140.0,1000,600.735545
150.0,1000,601.263215
140.0,1000,602.227969
150.0,1000,602.736014
140.0,1000,603.699342
140.0,1000,604.204858
150.0,1000,605.194995
150.0,1000,605.729619
150.0,1000,606.79259
150.0,1000,607.337224
150.0,1000,608.353664
150.0,1000,608.92635
150.0,1000,609.988052
150.0,1000,610.578974
150.0,1000,611.657436
150.0,1000,612.305695
150.0,1000,613.372269
150.0,1000,613.986398
170.0,1000,615.06806
150.0,1000,615.734823
170.0,1000,616.826768
150.0,1000,617.44176
170.0,1000,618.536387
170.0,1000,619.154281
170.0,1000,620.237755
170.0,1000,620.861076
170.0,1000,621.939984
170.0,1000,622.553449
150.0,1000,623.609566
170.0,1000,624.224573
150.0,1000,625.304292
150.0,1000,625.961723
150.0,1000,627.014473
150.0,1000,627.631071
150.0,1000,628.708978
170.0,1000,629.313486
150.0,1000,629.911355
150.0,1000,630.981943
150.0,1000,631.58304
150.0,1000,632.632208
170.0,1000,633.236143
150.0,1000,634.308645
150.0,1000,634.904787
150.0,1000,635.955109
150.0,1000,636.572438
150.0,1000,637.608135
150.0,1000,638.186804
150.0,1000,639.233155
150.0,1000,639.823396
150.0,1000,640.886767
150.0,1000,641.482102
150.0,1000,642.541398
170.0,1000,643.169834
170.0,1000,644.239706
150.0,1000,644.850176
170.0,1000,645.93297
170.0,1000,646.56121
170.0,1000,647.714282
170.0,1000,648.378706
170.0,1000,649.460049
170.0,1000,650.094765
170.0,1000,651.174613
170.0,1000,651.791355
